Date,Open,High,Low,Close,Volume,Adj Close
2000-06-19,70.06,70.06,70.06,70.06,200,18.66
2000-06-20,70.25,70.36,70.25,70.36,400,18.74
2000-06-21,70.78,70.78,70.7,70.7,20600,18.83
2000-06-22,70.73,70.73,70.73,70.73,400,18.84
2000-06-23,70.73,70.73,70.73,70.73,0,18.84
2000-06-26,70.25,70.25,69.75,69.75,2000,18.57
2000-06-27,70.72,70.75,70.72,70.75,2600,18.84
2000-06-28,70.75,70.75,70.75,70.75,0,18.84
2000-06-29,70.75,70.75,70.75,70.75,0,18.84
2000-06-30,71.59,71.62,70.75,70.75,2800,18.84
2000-07-03,70.84,71.16,70.84,71.16,45400,18.95
2000-07-05,71.25,71.81,71.19,71.81,32600,19.12
2000-07-06,71.5,72.25,71.5,72.03,6600,19.18
2000-07-07,72.22,72.78,72.22,72.56,8400,19.32
2000-07-10,72.72,72.75,72.5,72.5,10400,19.31
2000-07-11,72.47,72.47,72.47,72.47,200,19.3
2000-07-12,72.5,72.5,72.12,72.12,8800,19.21
2000-07-13,72.06,72.06,72.06,72.06,4000,19.19
2000-07-14,72.0,72.06,71.91,71.91,58000,19.15
2000-07-17,72.22,72.22,72.22,72.22,1200,19.23
2000-07-18,72.44,72.44,72.44,72.44,400,19.29
2000-07-19,71.47,71.75,71.25,71.56,98400,19.22
2000-07-20,71.81,71.81,71.66,71.66,2200,19.25
2000-07-21,72.66,72.75,72.62,72.69,3000,19.52
2000-07-24,73.0,73.28,72.88,73.28,5200,19.68
2000-07-25,73.31,73.31,73.25,73.25,5600,19.68
2000-07-26,73.5,74.3,73.5,74.3,11200,19.96
2000-07-27,74.41,75.19,74.41,75.12,121200,20.18
2000-07-28,75.11,75.19,75.11,75.11,3200,20.17
2000-07-31,75.25,75.25,74.44,74.59,78800,20.04
2000-08-01,75.38,76.17,75.31,76.17,420400,20.46
2000-08-02,76.34,76.34,76.22,76.31,13800,20.5
2000-08-03,76.12,76.12,75.33,75.75,41800,20.35
2000-08-04,75.09,75.09,74.19,74.56,175200,20.03
2000-08-07,74.84,75.09,74.5,74.56,63800,20.03
2000-08-08,74.25,74.81,74.25,74.69,159800,20.06
2000-08-09,74.94,74.94,74.72,74.75,3800,20.08
2000-08-10,75.12,75.22,74.92,75.12,10400,20.18
2000-08-11,75.16,75.34,75.12,75.25,23600,20.21
2000-08-14,75.12,75.44,75.12,75.44,600,20.26
2000-08-15,75.12,75.25,75.0,75.0,17400,20.15
2000-08-16,75.0,75.41,75.0,75.25,13400,20.21
2000-08-17,75.47,75.47,75.36,75.36,3600,20.24
2000-08-18,75.25,75.25,74.69,74.69,59000,20.06
2000-08-21,74.84,74.84,74.41,74.41,160400,19.99
2000-08-22,74.59,74.88,74.5,74.62,57400,20.04
2000-08-23,74.62,74.64,73.81,73.81,86400,19.83
2000-08-24,73.81,73.86,73.3,73.3,90800,19.69
2000-08-25,73.53,73.53,73.16,73.19,9800,19.66
2000-08-28,73.16,73.64,73.16,73.3,8200,19.69
2000-08-29,73.0,73.0,72.59,72.62,9800,19.51
2000-08-30,72.5,73.0,72.5,73.0,2200,19.61
2000-08-31,73.28,73.47,73.28,73.47,1000,19.73
2000-09-01,73.03,73.42,73.03,73.03,41600,19.62
2000-09-05,73.31,73.62,73.19,73.5,544200,19.74
2000-09-06,73.5,74.09,73.44,74.08,255400,19.9
2000-09-07,73.81,74.0,73.81,74.0,72200,19.88
2000-09-08,74.34,75.41,74.34,75.41,167600,20.25
2000-09-11,75.69,76.06,75.56,75.84,9200,20.37
2000-09-12,75.69,76.22,75.69,76.19,20200,20.46
2000-09-13,76.31,76.31,75.69,76.0,3800,20.41
2000-09-14,76.06,76.19,75.78,75.88,15000,20.38
2000-09-15,76.02,76.02,75.69,75.94,2400,20.4
2000-09-18,75.25,75.31,74.91,74.91,9800,20.12
2000-09-19,74.67,75.14,74.59,75.14,9200,20.18
2000-09-20,75.44,75.44,75.0,75.0,10800,20.15
2000-09-21,75.06,75.06,74.67,74.94,1200,20.13
2000-09-22,74.0,74.94,74.0,74.94,53800,20.13
2000-09-25,75.15,75.15,74.85,74.85,5200,20.1
2000-09-26,75.0,75.15,74.85,75.15,5400,20.19
2000-09-27,75.25,75.6,75.0,75.6,1600,20.31
2000-09-28,76.15,76.15,75.9,75.9,2000,20.39
2000-09-29,76.35,76.35,75.75,75.75,196400,20.35
2000-10-02,75.8,75.8,74.95,75.05,10200,20.16
2000-10-03,74.6,74.6,74.05,74.1,3200,19.9
2000-10-04,73.37,73.37,73.05,73.05,21800,19.62
2000-10-05,73.25,73.4,73.25,73.4,1200,19.72
2000-10-06,73.45,73.45,73.2,73.25,2400,19.68
2000-10-09,73.25,73.25,72.8,73.2,64000,19.66
2000-10-10,73.25,73.25,73.0,73.25,4200,19.68
2000-10-11,73.0,73.0,72.35,72.7,2000,19.53
2000-10-12,72.25,72.25,71.45,71.55,11000,19.22
2000-10-13,71.3,71.7,71.25,71.7,2200,19.26
2000-10-16,71.85,72.6,71.85,72.6,8200,19.5
2000-10-17,72.55,72.55,71.25,71.6,29200,19.23
2000-10-18,70.05,70.4,69.99,70.35,41000,19.14
2000-10-19,70.8,70.9,70.55,70.9,2000,19.29
2000-10-20,70.65,70.65,70.65,70.65,800,19.22
2000-10-23,70.25,70.45,70.1,70.1,5800,19.07
2000-10-24,69.7,69.7,69.5,69.5,100000,18.91
2000-10-25,69.35,69.55,69.25,69.25,13400,18.84
2000-10-26,69.1,69.5,69.05,69.45,2800,18.9
2000-10-27,69.65,70.75,69.6,70.3,310800,19.13
2000-10-30,70.45,70.7,70.35,70.65,5200,19.22
2000-10-31,70.75,70.75,70.55,70.55,2600,19.2
2000-11-01,70.7,70.85,70.7,70.85,34600,19.28
2000-11-02,71.0,71.1,70.75,71.1,9400,19.35
2000-11-03,71.25,71.25,70.9,70.9,600,19.29
2000-11-06,71.0,71.1,70.75,71.1,60000,19.35
2000-11-07,71.2,71.2,70.9,71.2,3800,19.37
2000-11-08,71.5,71.5,71.5,71.5,600,19.46
2000-11-09,71.2,71.2,70.95,70.95,48800,19.31
2000-11-10,70.55,70.55,70.35,70.4,7800,19.16
2000-11-13,70.05,70.45,70.0,70.45,800,19.17
2000-11-14,70.7,71.15,70.7,71.15,800,19.36
2000-11-15,71.5,71.5,71.3,71.3,2800,19.4
2000-11-16,71.4,71.5,71.4,71.5,14000,19.46
2000-11-17,71.25,71.25,71.18,71.18,2000,19.37
2000-11-20,71.3,71.3,71.1,71.1,244000,19.35
2000-11-21,71.4,71.4,71.0,71.2,2800,19.37
2000-11-22,71.1,71.1,70.9,70.9,1000,19.29
2000-11-24,70.9,70.9,70.9,70.9,0,19.29
2000-11-27,71.3,71.3,71.0,71.0,3400,19.32
2000-11-28,71.4,71.4,71.1,71.25,2000,19.39
2000-11-29,71.1,71.35,71.05,71.35,2200,19.41
2000-11-30,71.7,72.05,71.7,72.0,1000,19.59
2000-12-01,72.0,72.3,72.0,72.05,3000,19.61
2000-12-04,72.0,72.3,71.95,72.3,7800,19.67
2000-12-05,72.3,72.3,72.3,72.3,0,19.67
2000-12-06,73.9,74.0,73.75,73.8,7400,20.08
2000-12-07,73.8,73.8,73.5,73.5,3800,20.0
2000-12-08,73.65,74.2,73.65,74.2,5000,20.19
2000-12-11,74.4,74.75,74.4,74.75,7200,20.34
2000-12-12,75.05,75.1,75.05,75.1,1200,20.43
2000-12-13,74.9,75.0,74.9,75.0,20200,20.41
2000-12-14,74.95,74.95,74.6,74.6,37800,20.3
2000-12-15,75.0,75.0,74.4,74.95,11200,20.39
2000-12-18,75.0,76.25,75.0,76.25,45800,20.75
2000-12-19,76.35,76.35,76.05,76.3,7000,20.76
2000-12-20,75.2,75.2,74.7,74.75,8200,20.61
2000-12-21,74.9,74.95,74.6,74.95,9400,20.67
2000-12-22,75.0,75.0,71.8,74.65,5200,20.59
2000-12-26,74.4,74.65,74.2,74.6,19000,20.57
2000-12-27,74.8,75.5,74.8,75.5,6000,20.82
2000-12-28,75.7,76.6,75.7,76.6,60400,21.12
2000-12-29,76.9,76.9,75.95,75.95,107200,20.95
2001-01-02,75.8,75.8,75.0,75.3,21000,20.77
2001-01-03,75.3,76.45,75.3,76.2,119000,21.01
2001-01-04,76.35,76.35,75.7,75.7,175600,20.88
2001-01-05,75.1,75.1,74.65,74.85,23600,20.64
2001-01-08,75.2,75.2,74.75,74.75,9400,20.61
2001-01-09,75.0,75.15,74.95,75.1,2200,20.71
2001-01-10,74.55,74.95,74.45,74.75,12200,20.61
2001-01-11,75.15,75.25,74.85,74.85,1000,20.64
2001-01-12,74.95,75.15,74.7,74.95,6800,20.67
2001-01-16,75.05,75.05,75.0,75.0,5600,20.68
2001-01-17,75.25,75.45,75.05,75.32,162600,20.77
2001-01-18,75.35,75.35,75.05,75.1,163200,20.71
